Question,Correct_PDF,Top_Results,Latency_ms,Recall@1,Recall@3,Recall@5,Top_Citations
What is the main AI-related objective of Efficient Estimation of Word Representations in Vector Space Tomas Mikolov?,1301.3781v3.pdf,"['1301.3781v3.pdf', 'D14-1162.pdf', 'osdi16-abadi.pdf', '1301.3781v3.pdf', '20-074.pdf']",25232.61,1,1,1,"['1301.3781v3.pdf, p. 1', 'D14-1162.pdf, p. 11', 'osdi16-abadi.pdf, p. 19', '1301.3781v3.pdf, p. 2', '20-074.pdf, p. 63']"
What is the main AI-related objective of Playing Atari with Deep Reinforcement Learning Volodymyr Mnih Koray Kavukcuoglu?,1312.5602v1.pdf,"['1312.5602v1.pdf', '1709.05067v1.pdf', '1312.5602v1.pdf', '1709.05067v1.pdf', '1709.05067v1.pdf']",686.18,1,1,1,"['1312.5602v1.pdf, p. 1', '1709.05067v1.pdf, p. 1', '1312.5602v1.pdf, p. 4', '1709.05067v1.pdf, p. 2', '1709.05067v1.pdf, p. 1']"
What is the main AI-related objective of ADAM: A METHOD FOR STOCHASTIC OPTIMIZATION Diederik P. Kingma* University of?,1412.6980v9.pdf,"['1412.6980v9.pdf', '1412.6980v9.pdf', '1412.6980v9.pdf', '1412.6980v9.pdf', '1412.6980v9.pdf']",675.11,1,1,1,"['1412.6980v9.pdf, p. 1', '1412.6980v9.pdf, p. 1', '1412.6980v9.pdf, p. 10', '1412.6980v9.pdf, p. 1', '1412.6980v9.pdf, p. 6']"
What is the main AI-related objective of MLlib: Machine Learning in Apache Spark Xiangrui Meng?,15-237.pdf,"['15-237.pdf', '15-237.pdf', '15-237.pdf', '15-237.pdf', '15-237.pdf']",570.36,1,1,1,"['15-237.pdf, p. 3', '15-237.pdf, p. 3', '15-237.pdf, p. 2', '15-237.pdf, p. 5', '15-237.pdf, p. 2']"
What is the main AI-related objective of All electrical manipulation of magnetization dynamics in a ferromagnet by?,1508.07906v2.pdf,"['s44163-022-00022-8.pdf', '1910.10045v2.pdf', '2210.07658v2.pdf', '1606.06565v2.pdf', '1910.10045v2.pdf']",546.1,0,0,0,"['s44163-022-00022-8.pdf, p. 3', '1910.10045v2.pdf, p. 2', '2210.07658v2.pdf, p. 1', '1606.06565v2.pdf, p. 4', '1910.10045v2.pdf, p. 1']"
What is the main AI-related objective of UNSUPERVISED REPRESENTATION LEARNING WITH DEEP CONVOLUTIONAL GENERATIVE ADVERSARIAL?,1511.06434v2.pdf,"['1511.06434v2.pdf', '1910.10045v2.pdf', '2303.18223v19 (1).pdf', '2303.18223v19.pdf', '1511.06434v2.pdf']",584.97,1,1,1,"['1511.06434v2.pdf, p. 1', '1910.10045v2.pdf, p. 33', '2303.18223v19 (1).pdf, p. 7', '2303.18223v19.pdf, p. 7', '1511.06434v2.pdf, p. 1']"
"What is the main AI-related objective of ""Why Should I Trust You?"" Explaining the Predictions of Any Classifier Marco Tulio?",1602.04938v3.pdf,"['1602.04938v3.pdf', '1910.10045v2.pdf', '1602.04938v3.pdf', '1602.04938v3.pdf', '1910.10045v2.pdf']",1026.86,1,1,1,"['1602.04938v3.pdf, p. 1', '1910.10045v2.pdf, p. 48', '1602.04938v3.pdf, p. 1', '1602.04938v3.pdf, p. 2', '1910.10045v2.pdf, p. 6']"
What is the main AI-related objective of Communication-Efficient Learning of Deep Networks from Decentralized Data H. Brendan?,1602.05629v4.pdf,"['1602.05629v4.pdf', '1910.10045v2.pdf', '1602.05629v4.pdf', '1602.05629v4.pdf', '1602.05629v4.pdf']",521.54,1,1,1,"['1602.05629v4.pdf, p. 1', '1910.10045v2.pdf, p. 71', '1602.05629v4.pdf, p. 2', '1602.05629v4.pdf, p. 1', '1602.05629v4.pdf, p. 4']"
What is the main AI-related objective of Efficient and robust approximate nearest neighbor search using Hierarchical?,1603.09320v4.pdf,"['1603.09320v4.pdf', '1603.09320v4.pdf', '1603.09320v4.pdf', '1603.09320v4.pdf', '1603.09320v4.pdf']",467.4,1,1,1,"['1603.09320v4.pdf, p. 1', '1603.09320v4.pdf, p. 12', '1603.09320v4.pdf, p. 12', '1603.09320v4.pdf, p. 11', '1603.09320v4.pdf, p. 1']"
What is the main AI-related objective of End to End Learning for Self-Driving Cars Mariusz Bojarski NVIDIA Corporation?,1604.07316v1.pdf,"['1604.07316v1.pdf', '1910.07738v2.pdf', '1910.07738v2.pdf', '1910.07738v2.pdf', '1910.07738v2.pdf']",510.94,1,1,1,"['1604.07316v1.pdf, p. 1', '1910.07738v2.pdf, p. 3', '1910.07738v2.pdf, p. 3', '1910.07738v2.pdf, p. 3', '1910.07738v2.pdf, p. 26']"
What is the main AI-related objective of Concrete Problems in AI Safety Dario Amodei Google Brain?,1606.06565v2.pdf,"['1606.06565v2.pdf', 'AD1099286.pdf', '1606.06565v2.pdf', '1606.06565v2.pdf', '1711.09883v2.pdf']",399.69,1,1,1,"['1606.06565v2.pdf, p. 1', 'AD1099286.pdf, p. 20', '1606.06565v2.pdf, p. 2', '1606.06565v2.pdf, p. 21', '1711.09883v2.pdf, p. 2']"
"What is the main AI-related objective of Wide & Deep Learning for Recommender Systems Heng-Tze Cheng, Levent Koc, Jeremiah?",1606.07792v1.pdf,"['1708.05031v2.pdf', '45530.pdf', '1606.07792v1.pdf', '1606.07792v1.pdf', '1606.07792v1.pdf']",389.31,0,1,1,"['1708.05031v2.pdf, p. 10', '45530.pdf, p. 2', '1606.07792v1.pdf, p. 3', '1606.07792v1.pdf, p. 1', '1606.07792v1.pdf, p. 1']"
What is the main AI-related objective of SEMI-SUPERVISED CLASSIFICATION WITH GRAPH CONVOLUTIONAL NETWORKS Thomas N. Kipf?,1609.02907v4.pdf,"['1609.02907v4.pdf', '1609.02907v4.pdf', '1609.02907v4.pdf', '1812.08434v6.pdf', '1812.08434v6.pdf']",374.46,1,1,1,"['1609.02907v4.pdf, p. 1', '1609.02907v4.pdf, p. 1', '1609.02907v4.pdf, p. 9', '1812.08434v6.pdf, p. 24', '1812.08434v6.pdf, p. 22']"
